1 - | Kصحيح
199 - | S [ش (أقامه) على الحق. (أزاغه) عن الحق] .Kصحيح
200 - | Zفي الزوائد في إسناده مقالS [ش (خلف الكتيبة) أي خلف الجيش بمعنى أنه يقاتل بعد أن ظفروا لا بمعنى أنه يقوم خلفهم ويقاتل] .Kضعيف
201 - | S [ش (يعرض) من العرض أي يظهر في الموسم أي موسم الحج بمكة. فإنهم كانوا يحجون زمن الجاهلية. (أبلغ) من الإبلاغ أو التبليغ] .Kصحيح
202 - | Zفي الزوائد إسناده حسنS [ش (يفرج كربا) في الصحاح الكرب كاضرب هو الغم الذي يأخذ بالنفس. وتفريج الغم إزالته] .Kحسن
203 - | S [ش (سنة حسنة) طريقة مرضية يقتدى بها. (فعمل بها) الفاء للتفسير وهو لقوله " من سن " بأن عمل بها. ومنه قوله تعلى {ونادى نوح ابنه فقال رب أن ابني من أهلي} وأمثله كثيرة. (أجرها) أي أجر عملها] .Kصحيح
204 - | Zفي الزوائد إسناده صحيحS [ش (فحث عليه) أي على التصدق. (كذا وكذا) أي من المال وأنا أتصدق به فتبعه الناس في التصدق. (بما قل أو كثر) بقليل أو كثير. (فاستن به) على بناء المفعول. أي فعمل الناس بذلك الخبر] .Kصحيح
205 - | Zفي الزوائد إسناده ضعيف.Kصحيح لغيره
206 - | Kصحيح
207 - | Zفي الزوائد هذا الإسناد ضعيف.Kحسن صحيح
208 - | Zفي الزوائد إسناده ضعيفS [ش (لازما لدعوته) حال من ضمير الداعي. أي حال كونه غير مفارق لدعوته. بل معه دعوته. أو هو صفة مصدر. أي وقفا لازما لأجل دعوته] .Kضعيف
209 - | S [ش (من أحيا سنة من سنتي) المراد بالسنة هنا ما وضعه رسول الله صلى الله عليه وسلم من الأحكام. وإحياؤها أن يعمل بها ويحرض الناس ويحثهم على إقامتها] .Kصحيح لغيره
210 - | Kضعيف جدا
211 - | Kصحيح
212 - | Kصحيح
213 - | Zفي الزوائد إسناده ضعيفS [ش (قال وأخذ بيدي) لعل هذا قول عاصم بن بهدلة لأنه كان إمام القراء في زمنه. أي قال عاصم أخذ مصعب بن سعد بيدي فأقعدني مقعدي هذا أي مجلس تعليم القرآن] .Kحسن صحيح
214 - | S [ش (الأترجة) ثمر تسمية العامة الكباد وهو من جنس الليمون. والأترجة من أفضل الثمار لكبر حجمها ومنظرها وطيب طعمها ولين ملمسها. ولونها يسر الناظرين. وفيه تشبيه الإيمان بالطعم الطيب لكونه خيرا باطنيا لا يظهر لكل أحد. والقرآن بالريح الطيب ينتفع بسماعه كل أحد ويظهر بمحاسنه لكل سامع] .Kصحيح
215 - | Zفي الزوائد إسناده صحيحS [ش (أهلين) جمع أهل جمع بالياء والنون لكونها منصوبا على أنه اسم " أن ". (هم أهل القرآن) أي حفظته العاملون به. (أهل الله) بتقدير أنهم أهل الله أي أولياؤه المختصون به اختصاص أهل الإنسان به] .Kصحيح
216 - | S [ش (وحفظه) أي بمراعاة العمل به والقيام بموجبه. (وشفعه) أي قبل شفاعته] .Kضعيف جدا
217 - | S [ش (جراب) الجراب وعاء من جلد. (محشو) أي مملوء. (يفوح) فاح المسك أي انتشر ريحه في كل مكان. (أوكي) أوكيت السقاء. إذا ربطت فمه بالوكاء. والوكاء خيط تشد به الأوعية] .Kضعيف
218 - | S [ش (قاض) أي بالحق. (بهذا الكتاب) أي بقراءته أي العمل به. (ويضع به) أي بالإعراض عنه وترك العمل بمقتضاه] .Kصحيح
219 - | Zقال المنذري إسناده حسن. لكن في الزوائد أنه ضعف عبد الله بن زياد وعلي بن زيد بن جدعان قال وله شاهدان أخرجهما الترمذيS [ش (لأن تغدو) بفتح اللام للابتداء وأن بفتح الهمزة مصدرية. وهو مبتدأ خبره " خير " أي خروجك من البيت غدوة. (فتعلم) أي فتتعلم بحذف إحدى التاءين] .Kضعيف
220 - | Zفي الزوائد قلت رواه الترمذي من حديث ابن عباس وقال حسن صحيح. وفي الباب عن أبي هريرة ومعاوية. وقال السندي وإسناد أبي هريرة ظاهره المصحة ولكن اختلف فيه على الزهري. فرواه النسائي من حديث شعيب عن الزهري عن أبي سلمة عن أبي هريرة وقال الصواب رواية الزهري عن حميد بن عبد الرحمن عن معاوية كما في الصحيحينS [ش (يفقهه في الدين) الفقه في الدين هو العلم الذي يورث الخشية في القلب ويظهر أثره على الجوارح. ويترتب عليه الإنذار. كما يشير إليه قوله تعالى {فلولا نفر من كل فرقة منهم طائفة ليتفقهوا في الدين ولينذروا قومهم إذا رجعوا إليهم لعلهم يحذرون} (9 / سورة التوبة / الآية 122) معن الدرامي عن عمران قال قلت للحسن يوما في شيء يا أبا سعيد ليس هكذا يقول الفقهاء. فقال ويحك هل رأيت فقيها قط؟ إنما الفقيه الزاهد في الدنيا الراغب في الأخرة البصير بأمر دينه الداوم على عبادة ربه] .Kصحيح
221 - | Zفي الزوائد رواه ابن حبان في صحيحه من طريق هاشم بن عمار بإسناده ومتنهS [ش (الخير عادة) أي المؤمن الثابت على مقتضى الإيمان والتقوى ينشرح صدره للخير فيصير له عادة. ذلك لإن الإنسان مجبول على الخير. قال الله تعالى {فطرة الله التي فطر الناس عليها لا تبديل لخلق الله ذلك الدين القيم ولكن أكثر الناس لا يعلمون} (30 / سورة الروم / الآية 30) . وأما الشر فلا ينشرح له صدره فلا يدخل في قلبه إلا بلجاجة الشيطان والنفس الإمارة بالسوء. واللجاجة الخصومة] .Kحسن
222 - | Kموضوع
223 - | S [ش (فما جاء بك تجارة) بتقدير حرف الاستفهام. (لتضع أجنحتها) مجازا عن التواضع تعظيما لحقه ومحبة للعلم. (رضا) مفعول له أي إرادة رضا. (لم يورثوا) من التوريث. (بحظ وافر) أي بنصيب تام] .Kصحيح
224 - | Zفي الزوائد إسناده ضعيف لضعف حفص بن سليمان. وقال السيوطي سئل الشيخ محي الدين النووي رحمه الله تعالى عن هذا الحديث فقال انه ضعيف أي سندا. وإن كان صحيحا أي معنى. وقال تلميذه جمال الدين المزي هذا الحديث روى من طرق تبلغ رتبة الحسن. وهو كما قال. فإني رأيت له خمسين طريقا وقد جمعتها في جزء. كلم الإمام السيوطي.Kصحيح دون قوله وواضع العلم الخ فإنه ضعيف جدا
225 - | S [ش (كربة) الكربة الغم والشدة. (يسر) سهل. (حفتهم الملائكة) أي طافوا بهم وداروا حولهم تعظيما لصنيعهم. (وغشيتهم) أي غطتهم وسترتهم. (ومن أبطأ به عمله لم يسرع به نسبه) أي من أخره تفريطه في العمل الصالح في الدنيا لم ينفعه في الآخرة شرف النسب] .Kصحيح
226 - | Zفي الزوائد رجال إسناده ثقات. إلا أن عاصم بن أبي النجود اختلط بأخرةS [ش (أنبط العلم) أي أظهره وأفشيه من الإنباط. أي جئت لإظهار العلم وتحصيله من العلماء] .Kصحيح
227 - | Zفي الزوائد إسناده صحيح على شرط مسلم.Kصحيح
228 - | Zفي الزوائد في إسناده علي بن يزيد والجمهور على تضعيفه.Kضعيف
229 - | Zفي الزوائد إسناده ضعيف. داود وبكر وعبد الرحمن كلهم ضعفاء.Kضعيف
230 - | S [ش (نضر الله امرءا) قال الخطابي دعا له بالنضارة وهي النعمة. يقال نضر ونضر. من النضارة. وهي في الأصل حسن الوجه والبريق. وأراد حسن قدره. وقيل روى مخففا وأكثر المحدثين يقول بالتثقيل. والأول الصواب. والمراد ألبسه الله النضرة وهي الحسن وخلوص اللون. أي جمله وزينه وأوصله الله إلى نضرة الجنة أي نعيمها ونضارتها. قال ابن عيينة ما من أحد يطلب الحديث إلا وفي وجهه نضرة لهذا الحديثوقال القاضي أبو الطيب الطبري رأيت النبي صلى الله عليه وسلم في المنام فقلت يا رسول الله أنت قلت (نضر الله امرءا) وتلوت عليه الحديث جميعه ووجهه يتهلهل. فقال لي " نعم. أنا قلته ". (لا يغل) من الإغلال وهو الخيانة. ويروى " يغل " من الغل وهو الحقد والشحناء. ويحتمل أن يكون قوله " عليهن " حال من القلب الفاعل. فيكون المعنى قلب الرجل المسلم حال كونه متصفا بهذه الخصال الثلاث لا يصدر عنه الخيانة والحقد والشحناء ولا يدخله مما يزيله عن الحق. ويحتمل أن يكون قوله " عليهن " متعلقا بقوله " يغل " أي لا يخون في هذه الخصال أي من شأن قلب المسم أن لا يخون ولا يحسد فيها بل يأتي بها بتمامها بغير نقصان في حق من حقوقها. (إخلاص العمل لله) معنى الإخلاص أن يقصد بالعمل وجهه ورضاه فقط. دون غرض آخر دنيوي أو أخروي. أو لا يكون له غرض دنيوي من سمعة ورياء. فالأول إخلاص الخاصة والثاني إخلاص العامةوقال الفضيل بن عياض العمل لغير الله شرك وترك العمل لغير الله رياء. والإخلاص أن يخلصك الله منها. (والنصح) أي إرادة الخير ولو للأئمة. (ولزوم جماعتهم) أي موافقة المسلين في الإعتقاد والعمل الصالح] .Kصحيح
231 - | S [ش (بالخيف من منى) الخيف الموضع المرتفع عن مجرى السيل المنحدر عن غلظ الجبل. ومسجد منى سمي مسجد الخيف لانه في سفح جبلها] .Kصحيح
232 - | S [ش (سمع منا حديثا) أي سمع بلا واسطة أو بواسطة. وهي معنى " سمع مقالتي " ولا يتقيد بالسماع من فيه صلى الله عليه وسلم. وعلى هذا العلماء. (أحفظ) أي أفطن وأفهم. أو أكثر مراعاة لمعناه وعملا بمقتضاه. وليس المراد الحفظ اللساني] .Kصحيح
233 - | S [ش (وعن رجل آخر) قيل الرجل الآخر هو حميد بن عبد الرحمن الحميري. (الشاهد) أي الحاضر لسماع العلم. (أوغى) أي أحفظ له] .Kصحيح من دون فإنه
234 - | Kصحيح
235 - | Kصحيح
236 - | Zقال السندي قد تكلم في الزوائد على بعض الأحاديث (من رقم 230 إلى رقم 236) إلا أن متونها ثابتة عند الأئمة.Kصحيح
237 - | Zفي الزوائد إسناده ضعيف من أجل محمد بن أبي حميد فانه متروكS [ش (أن من الناس مفاتيح للخير مغاليق للشر) المفتاح آلة لفتح الباب ونحوه. والجميع مفاتيح ومفاتيح أيضا. والمغلاق ما يغلق به. وجمعه ومغاليق. ولا بعد أن يقدر " ذوي مفاتيح للخير " أي أن الله تعالى أجرى على أيديهم فتح أبواب الخير حتى كانه ملكهم مفاتيح الخير. ووضعها في أيديهم. ولذلك قال " جعل الله مفاتيح الخير على يديه " وتعدية الجعل ب - " على " لتضمنه معنى الوضع. (فطوبى) فعلى من الطيب. (وويل) الويل الهلاك] .Kحسن
238 - | Zفي الزوائد إسناده ضعيف لضعف عبد الرحمنS [ش (أن هذا الخير خزائن) أي ذو خزائن] .Kضعيف جدا
239 - | Kصحيح
240 - | Zالمتن ثابت معنى. وإن تكلم في الزوائد على إسناده فقال فيه سهل بن معاذ ضعفه ابن معين ووثقه المجلي وذكره ابن حبان في الثقات والضعفاء. ويحيى بن أيوب قيل انه لم يدرك سهل بن معاذ. ففيه انقطاعS [ش (من علم علما) من التعليم ويحتمل انه من العلم] .Kحسن
241 - | Zفي الزوائد ما يقضي انه صحيح. رواه ابن حبان في صحيحه.Kصحيح
242 - | Zنقل عن ابن المنذر انه قال إسناده حسن. في الزوائد إسناده غريب. ومرزوق مختلف فيه. وقد رواه ابن خزيمة في صحيحه عن محمد بن يحيى الذهلي بهS [ش (ورثه) أي تركه إرثا. (في صحته وحياته) أي أخرجها في زمان كمال حاله ووفور افتقاره إلى ماله وتمكنه من الانتفاع به] .Kحسن
243 - | Zفي الزوائد إسناده ضعيف. فإسحاق بن إبراهيم ضعيف وكذلك يعقوب. والحسن لم يسمع من أبي هريرة قاله غير واحد.Kضعيف
244 - | S [ش (متكئا) الاتكاء هو أن يتمكن في الجلوس متربعا. أو يستوي قاعدا على وطاء أو يسند ظهره على شيء أو يضع إحدى يديه على الأرض. وكل ذلك خلاف الأدب المطلوب حال الأكل. وبعضه فعل المتكبرين. وبعضه فعل المكثرين من الطعام. (لا يطأ عقبيه رجلان) أي لا يمشي رجلان خلفه فضلا عن الزيادة] .Kصحيح
245 - | Z في الزوائد إسناده ضعيف لضعف رواتهS [ش (وقر في نفسه) أي سكن فيها وثبت] .Kضعيف
246 - | Zفي الزوائد رجال إسناده ثقات.Kصحيح
247 - | S [ش (مرحبا) أي صادفت رحبا أو لقيت رحبا وسعة وقيل رحب الله بك ترحيبا. فوضع " مرحبا " موضع " يرحيبا ". (بوصية رسول الله) أي يامن أوصى بهم رسول الله. (وأقنوهم) وفي نسخة " وأفتوهم "] .Kحسن
248 - | Zفي الزوائد إسناده ضعيف. فإن المعلى بن هلال كذبه أحمد وابن معين وغيرهما. ونسبه إلى وضع الحديث غير واحد. وإسماعيل هو ابن مسلم. اتفقوا على ضعفه. وله شاهد من حديث أبي سعيد قال الترمذي فيه لا نعرفه إلا من حديث أبي هارون عن أبي سعيد. قلت أبو هارون العبدي ضعيف باتفاقهمS [ش (فأدركنا) الظاهر أنه من قول الحسن البصري. وكأنه يشكو شأن رجال نصبوا أنفسهم لتعليم العلم ثم تجبروا وتكبروا من تعليمه للفقراء والمساكين. ولم يكن هذا إلا من بعد الصحابة رضوان الله عليهم] .Kموضوع
249 - | S [ش (تبع) جمع تابع. كطلب جمع طالب. وقيل مصدر وضع موضع الصفة مبالغة نحو رجل عدل. (من أقطار الأرض) أي جوانبها. (يتفقهون) أي يطلبون الفقه في الدين] .Kضعيف
250 - | S [ش (ومن دعاء لا يسمع) أي لا يستجاب فكأنه غير مسموع. (لا تشبع) أي حريصة على الدنيا لا تشبع منها. وأما الحرص على العمل والخير فمحمود مطلوب. قال تعالى {وقل رب زدني علما} (20 / سورة طه / الآية 114) ] .Kصحيح
251 - | Kصحيح دون الحمد
252 - | S [ش (مما يبتغب به وجه الله) بيان للعلم. أي العلم الذي يطاب به رضا الله وهو العلم الديني. فلو طلب الدنيا بعلم الفلسفة زنحوه فهو غير داخل في أهل هذا الوعيد. (عرضا) أي متاع] .Kصحيح
253 - | Zفي الزوائد إسناده ضعيف لضعف حماد وأبي كرب.Kحسن
254 - | Zفي الزوائد رجال إسناده ثقات. ورواه ابن حبان في صحيحه. والحاكم مرفوعا وموقوفاS [ش (لا تعلموا) أي لا تتعلموا. بحف إحدى التاءين. (تخيروا) أي لا تختاروا به خيار المجالس وصدورها. (فالنار) أي فله النار. أو فيستحق النار. و " النار " مرفوع على الأول منصوب على الثاني] .Kصحيح
255 - | Zفي الزوائد إسناده ضعيف. وعبيد الله بن أبي بردة لا يعرفS [ش (سيتفقهون) أي يدعون الفقه في الدين. (ولا يكون ذلك) أي يتحقق ذلك. وهو الإصابة من الدنيا والاعتزال عن الناس بالدين. (القتاد) شجر ذو شوك. ولا يكون له ثمر سوى الشوك] .Kضعيف
256 - | S [ش (جب الحزن) الجب البئر التي لم تطو. والحزن بفتحتين أو بضم فسكون ضد الفرح. قال الطيبي هو علم. والإضافة كما في دار السلام أي فيها السلام من الآفات. (الجورة) الظلمة لفظا ومعنى. جمع جائر] .Kضعيف
257 - | Zفي الزوائد إسناده ضعيف. فيه نهشل بن سعيد. قيل إنه يروي المناكير. وقيل بل الموضوعاتS [ش (من جعل الهموم هما واحدا) أي من جعل همه واحدا موضوع الهموم التي للناس. أو من كان له هموم متعددة فتركها وجعل موضعه الهم الواحد. (ومن تشعبت به الهموم) أي تفرق فيه الهموم أو فرقته الهموم. والباء على الأول بمعنى " في " وعلى الثاني للتعدية. وإن جعلت للمصاحبة أي مصحوبة معه كان صحيحا. (لم يبال الله) كناية عن عدم الكفاية والعون] .Kحسن
258 - | Kضعيف
259 - | Zفي الزوائد إسناده ضعيف.Kحسن
260 - | Zفي الزوائد إسناده ضعيف.Kحسن
261 - | S [ش قال الخطابي هو في العلم الضروري. كما لو قال علمني الإسلام والصلاة وقد حضر وقتها وهو لا يحسنها. لا في نوافل العلم] .Kحسن
262 - | Kصحيح
263 - | Zفي الزوائد إسناد حسين بن أبي السري كذاب. وعبد الله بن السري ضعيف. وفي الأطراف أن عبد الله بن السري لم يدرك محمد بن النكدر. وذكر أن بينهما وسائط. ففيه انقطاع أيضا.Kضعيف جدا
264 - | Zفي الزوائد إسناده حديث أنس فيه يوسف بن إبراهيم. قال البخاري هو صاحب عجائب. وقال ابن حبان روى عن أنس من حديثه ما لا يخل بالرواية. اه -. واتفقوا على ضعفه.Kصحيح
265 - | Zفي إسناده محمد بن داب. كذبه أبو زرعة وغيره ونسب إلى الوضعS [ش (أمر الدين) بدل من " في أمر الناس "] .Kضعيف جدا
266 - | Kصحيح
267 - | Kصحيح
268 - | Kصحيح
269 - | Kصحيح
270 - | Zفي الزوائد إسناده ضعيف لضعف حبان ويزيدS [ش (يجزئ من الوضوء) من " أجزأ " إذا كفى. وكلمة " من " بمعنى " في " أي يكفي في الوضوء.Kصحيح
271 - | S [ش (لا يقبل الله) قبول الله تعالى العمل رضاه به وثوابنا عليه. فعدم القبول أن لا يثيبه عليه. (إلا بطهور) الطهور بضم الطاء فعل المتطهر وهو المراد هنا وبالفتح اسم الآية كالماء والتراب. (من غلول) هو الخيانه في الغنيمة. والمراد هنا مطلق الحرام] .Kصحيح
272 - | Kصحيح
273 - | Zفي الزوائد حديث أنس ضعيف لضعف التابعي. وقد تفرد يزيد بالرواية عنه فهو مجهول.Kصحيح
274 - | Kصحيح
275 - | S [ش (وتحريمها) أي تحريم ما ما حرم الله فيها من الأفعال. (وتحليلها) أي تحليل ما حل خارجها من الأفعالويمكن أن يكون التحريم بمعنى بمعنى الإحرام. أي الدخول في حرمتها. ولابد من تقدير مضاف أي آلة الدخول في حرمتها التكبير. وكذا التحليل بمعنى الخروج عن حرمتها. والمعنى أن آلة الخروج عن حرمتها التسليم. والحديث كما يدل على أن باب الصلاة مسدود ليس للعبد فتحه إلا بطهور كذلك يدل على أن الدخول في حرمتها لا يكون إلا بالتكبير والخروج لا يكون إلا بالتسليم] .Kحسن صحيح
276 - | Kصحيح
277 - | Zفي الزوائد رجال إسناده ثقات أثبات. إلا فيه انقطاعا بين سالم وثوبان. ولكن أخرجه الدارمي وابن حبان في صحيحه من طريق ثوبان متصلاS [ش (استقيموا ولن تحصوا) في النهاية أي استقيموا في كل شيء حتى لا تميلوا. ولن تطيقوا الاستقامة. من قوله تعالى {علم أن تحصوه} . أي لن تطيقوا عده وضبطه] .Kصحيح
278 - | Zفي الزوائد إسناده ضعيف لأجل ليث بن أبي سليم.Kصحيح
279 - | Zفي الزوائد إسناده ضعيف لضعف التابعS [ش (ونعما) أصله نعم ما. أدغمت ميمها في " ما " إلا أنه حذف ضمير المخصوص بالمدح] .Kضعيف
280 - | S [ش (شطر الإيمان) قال في النهاية لأن الإيمان يطهر نجاسة الباطن والطهور يطهر نجاسة الظاهر. (برهان) أي دليل على صدق صاحبه في دعوى الإيمان. إذ الإقدام على بذله خالصا لله لا يكون إلا من صادق في إيمانه. (والصبر ضياء) أي نور قوى. فقد قال تعالى هو الذي جعل الشمس ضياء والقمر نورا (10 / سورة يونس / الآية 5) . ولعل المراد بالصبر الصوم. وهو لكونه قهرا على النفس قامعا لشهواتها له تأثير عادة في تنوير القلب بأتم وجه. (كل الناس يغدو فبائع نفسه فمعتقها أو موبقها) قال النووي معناه كل إنسان يسعى بنفسه. فمنهم من يبيعها لله تعالى بطاعته فيعتقها من العذاب. ومنهم من يبيعا للشيطان والهوى باتباعهما قيوبقها أي يهلكها] .Kصحيح
281 - | S [ش (لا ينهزه) من نهز كمنع أي دفع. أي لا يخرجه من بيته إلا الصلاة] .Kصحيح
282 - | S [ش (أشفار عينيه) أشفار العين أطراف الأجفان التي بنيت عليها الشعر. جمع شفر. (نافلة) أي زائدة على تكفير تلك الخطايا المتعلقة بأعضاء الوضوء. فتكون لتكفير خطايا باقي الأعضاء أن كانت. وإلا فلرفع الدرجات] .Kصحيح
283 - | S [ش (خرت) أي سقطت وذهبت] .Kصحيح
284 - | Zفي الزوائد أصل هذا الحديث في الصحيحين من حديث أبي هريرة وحذيفة. وهذا حديث حسن. وحماد هو ابن سلمة. وعاصم هو ابن أبي النجود كوفي صدوق في حفظه شيءS [ش (غر) جمع الأغر من الغرة بياض الوجه. يريد بياض وجوههم بنور الوضوء يوم القيامة. اه -. نهاية. (محجلون) المحجل اسم مفعول من التحجيل. وهي الدواب التي قوائمها بيض. والمراد ظهور النور في أعضاء الوضوء. (بلق) جمع أبلق وهو من الفرس ذو سواد وبياض] .Kحسن صحيح
285 - | Zفي الزوائد الحديث في مسلم خلا قوله (ولا تغتروا)S [ش (قاعدا في المقاعد) المقاعد كالمساجد. قيل دكاكين عند دار عثمان. وقيل موضع بقرب المسجد اتخذ للقعود فيه للحوائج. (ولا تغتروا) أي بهذا الفضل عن الإجتهاد في الخيرات] .Kصحيح
286 - | S [ش (يشوص) أي يدلك الأسنان بالسواك] .Kصحيح
287 - | S [ش (لولا أن أشق) لولا خوف أن أشق. (بالسواك) أي باستعماله] .Kصحيح
288 - | S [ش (ثم ينصرف) أي بعد الركعتين. لا بعد تمام الصلاة] .Kصحيح
289 - | Zفي الزوائد إسنادهS [ش (مطهرة) قال في المختار المطهرة بفتح الميم وكسرها الإداوة. والفتح أعلى. (أحفي) من الإحفاء وهو الستئصال. (مقادم فمي) مقادم الفم هي الأسنان المتقدمة. وقيل المراد اللثات وهي ما حول الأسنان من اللحم. وهذا أقرب] .Kضعيف
290 - | Kصحيح
291 - | Zفي الزوائد إسناده ضعيف.Kصحيح
292 - | S [ش (الفطرة خمس) أي خمس خصال. أو خصال خمس. والفطرة بمعنى الخلقة. والمراد ههنا السنة القديمة التي اختارها الله للأنبياء. (والاستحداد) أي استعمال الحديدة في العانة] .Kصحيح
293 - | S [ش (وإعفاء اللحية) تركها وأن لا تقص كالشارب. (وغسل البراجم) قال الخطابي معناه تنظيف المواضع التي تجمع فيها الوسخ. وأضل البراجم العقد التي تكون على ظهور الأصابع (ونتف الإبط) أي أخذ شعره بالأصابع لأنه يضعف الشعر. (وانتقاص الماء) في النهاية يريد انتقاص البول بالماء يريد انتقاص البول بالماء إذا عسل المذاكير به. وقيل هو الانتضاح بالماء] .Kحسن
294 - | S [ش (والانتضاح) أي نضح الفرج بشيء من الماء] .Kحسن
295 - | S [ش (وقت) من التوقيت وهو التحيد أي عين وحدد] .Kصحيح
296 - | S [ش (الحشوش) واحد الحش وهي الكنف. وأصله جماعة النخل الكثيف وكانوا يقضون حوائجهم إليها قبل اتخاذ الكنف في البيوت. (محتضرة) أي يحضرها الشياطين. (الخبث والخبائث) البث جمع الخبيث. والخبائث جمع الخبيثة. والمراد ذكور الشياطين وإناثهم] .Kصحيح
297 - | Kصحيح
298 - | Kصحيح
299 - | Zقال أبو الحسن إسناده ضعيف. قال ابن حبان إذا اجتمع في إسناد خبر عبيد الله بن زحر وعلي بن يزيد والقاسم فذاك مما عملته أيديهمS [ش (مرفقه) هو الكنيف. (الرجس) هو المستقذر المكروه. (النجس) النجس بفتحتين مصدر. وبكسر الثلني صفة. ويجوز الوجهان ههنا. (الخبيث المخبث) في النهاية الخبيث ذو الخبث في نفسه. والمخبث الذي أعوانه خبثاء. وقيل هو الذي يعلمهم الخبث ويوقعهم فيه] .Kضعيف
300 - | S [ش (غفرانك) أي أسألك غفرانك. أو اغفر غفرانك. أي الغفران اللائق بجنابك أو الناشئ من فضلك بلا استحقاق مني له] .Kصحيح
301 - | Zفي الزوائد هو متفق على تضعيفه. والحديث بهذا اللفظ غير ثابت.Kضعيف
302 - | Kصحيح
303 - | Kضعيف
304 - | S [ش (مستحمه) المستحم المغتسل. مأخوذ من الحميم وهو الماء الحار الذي يغتسل به. (الحفيرة) في المنجد ما حفر من الأرض. (الجص) في النجد ما تطلى به البيوت من الكلس. ما يطبخ فيصير كالحجارة فيبنى به (معرب) . (الصاروج) في العرب النورة وأخلاطها التي تصرج بها الحياض والحمامات. (القير) في النجد مادة سوداء تطلى بها السفن والإبل وغيرها. وقيل هو الزفت] .Kضعيف لكن الشطر الأول منه صح
305 - | S [ش (سباطة) الكناسة] .Kصحيح
306 - | Kصحيح
307 - | Kصحيح
308 - | Zفي الزوائد متفق على تضعيفه.Kضعيف
309 - | Zفي الزوائد اتفقوا على ضعفه.Kضعيف جدا
310 - | Kصحيح
311 - | S [ش (تمنيت) في النهاية أي كذبت. التمني التكذب. تفعل من منى يمني إذا قدر. لأن الكاذب يقدرالحديث في نفسه ثم يقول] .Kضعيف جدا
312 - | S [ش (إذا استطاب) أي إذا استنجى. وسمي الاستنجاء استطابة لما فيه من إزالة النجاسة وتطيب موضعها] .Kحسن صحيح
313 - | S [ش (إذا أتيتم الغائط) هو في الأصل اسم للمكان المطمئن في القضاء. ثم اشتهر في نفس الخارج من الإنسن. والمراد ههنا هو الأول. (الروث) رجيع ذوات الحافر. (الرمة) العظم البالي] .Kحسن صحيح
314 - | S [ش (قال ليس أبو عبيدة ذكره) قال الحافظ ما حاصله أنه روى أبو إسحاق هذا الحديث عن أبي عبيدة وعن عبد الرحمن جميعا. لكن أبو عبيدة لم يسمع من أبيه ابن مسعود على الصحيح. فتكون روايته منقطعة. فمراد أبي إسحاق بقوله " ليس أبو عبيدة ذكره " أي لست أرويه الآن عنه. وإنما أرويه عن عبد الرحمن. (رجس) الرجس القذر] .Kصحيح
315 - | S [ش (رجيع) هو الخارج من الإنسان أو الحيوان. يشمل الروث والعذرة. سمي رجيعا لأنه رجع من حالته الأولى فصار ما صار بعد أن كان علفا أو طعاما] .Kصحيح
316 - | S [ش (الخراءة) في النهاية الخراءة بالكسر والمد التخلي والقعود للحاجة. قال الخطابي وأكثر الرواة يفتحون الخاء. وقال الجوهري إنما الخراءة بالفتح والمد. يقال خرئ مثل كره كراهة. ويحتمل أن يكون بالفتح المصدر وبالكسر الاسم] .Kصحيح
317 - | Zفي الزوائد إسناده صحيح. وحكم بصحته جماعة.Kصحيح
318 - | Kصحيح
319 - | Zقيل أبو زيد مجهول الحال. فالحديث ضعيف به.Kضعيف
320 - | Zفي الزوائد هذا الحديث والحديث الآتي في إسنادهما ابن لهيعة.Kصحيح
321 - | Zفي الزوائد في إسناده ابن لهيعة.Kصحيح
322 - | S [ش (ظهرت) أي طلعت على ظهر بيتنا. (لبنتين) تثنية " لبنة " واحد الطوب] .Kصحيح
323 - | S [ش (الحناط) ويقال الخياط] .Kضعيف جدا
324 - | Zقال النووي في المجموع إسناده حسن رجاله ثقات معروفونS [ش (استقبلوا بمقعدتي القبلة) أي حولوا قضاء الحاجة إلى جهة القبلة حتى يزول عن قلوبهم إنكار الاستقبال في البيوت فيرسخ في قلوبهم جوازه فيها ويفهموا أن النهي مخصوص بالصحراء. (عبيد) في المطبوعة الهندية " عبدك " وفي حاشية الكاف في " عبدك " علامة التصغير في اللغة الفارسية] .Kضعيف
325 - | Kحسن
326 - | Zفي الزوائد يزداد ويقال له ازداد لا يصح له صحبة. وزمعة ضعيفS [ش (فلينتر) في النهاية النتر جذب فيه قوة وجفوة. وهو بعث على التطهير بالاستبراء من البول. (ذكره) يعني بعد البول] .Kضعيف
327 - | Kضعيف
328 - | Zفي الزوائد إسناده ضعيف. ومتن الحدث قد أخرجه أبو داود من طريق آخرS [ش (أن يفتنكم) أي يوقعكم في الحرج والتعب. (الخلاء) بمعنى التغوط أي في شأنه. ويطلق الخلاء على مكان التغوط. والمراد الإشارة إلى المعنى الأول. (نفاق) أي من شأن المنافقين وعادتهم. (الملاعن) جمع ملعنة وهي الفعلة التي يلعن بها فاعلها كأنها مظنة اللعن ومحل له. (البراز) في النهاية البراز اسم للفضاء الواسع. فكنوا به عن قضاء الغائط كما كنوا عنه بالخلاء. لأنهم كانوا يتبرزون في الأمكنة الخالية من الناس. (الموارد) في النهاية الموارد المجاري والطرق إلى الماء واحدها مورد وهو مفعل من الورود. (قارعة الطريق) في النهاية هي وسطه وقيل أعلاه. والمراد هنا نفس الطريق ووجهه] .Kحسن
