hadithnumber,arabicnumber,text,book,hadith,Abu Ghuddah,Al-Albani,Zubair Ali Zai
380,380,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: olduğum günlerde su içtiğim kabı Rasûlüllah (sallallahü aleyhi ve sellem)’e verirdim o da benim içtiğim yerden içerdi. Yine hayızlı iken yediğim et parçasını sofraya bırakınca o eti alır, benim ısırdığım yerden yerdi.) (İbn Mâce, Tahara: 115; Müslim, Hayz:)",3,32,Sahih,Sahih,Sahih
381,381,,3,33,Hasan,Hasan,Sahih
382,382,,3,34,Sahih,Sahih,Sahih - Agreed Upon
383,383,,3,35,Sahih,Sahih,Sahih
384,384,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) ile birlikte Mescidde idik, Rasûlüllah (sallallahü aleyhi ve sellem): Âişe elbisemi getir) demişti. Âişe’de: kılmıyorum yani hayızlıyım) demişti. Bunun üzerine Rasûlüllah (sallallahü aleyhi ve sellem): elinde değil ya, getir) buyurdular. (Ebû Dâvûd, Tahara: 104; Müslim, Hayz:)",3,36,Sahih,Sahih,Sahih
384.2,384.2,,3,37,,,
385,385,,3,38,Hasan,Hasan,Hasan
386,386,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem) itikafa girdiği mescidden başını bana uzatır bende hayızlı olduğum halde O’nun başını tarardım.) (Müslim, Hayz: 3; Buhârî, Hayz:)",3,39,Sahih,Sahih,Sahih - Agreed Upon
387,387,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), başını bana uzatır ben de hayızlı olduğum halde O’nun başını itikafta olduğu halde yıkardım.) (Müslim, Hayz: 3; Buhârî, Hayz:)",3,40,Sahih,Sahih,Sahih
388,388,"Âişe (radıyallahü anha)’dan rivâyete göre: sallallahü aleyhi ve sellem), mescidde itikafta iken başını bana çıkarır ben de hayızlı olduğum halde O’nun başını yıkardım.) (Müslim, Hayz: 3; Buhârî, Hayz:)",3,41,Sahih,Sahih,Sahih
389,389,"Yine Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: olduğum zamanlarda bile Rasûlüllah (sallallahü aleyhi ve sellem)’in saçını tarardım.) (Müslim, Hayz: 3; Buhârî, Hayz:)",3,42,Sahih,Sahih,Sahih
390,390,"Hafsa (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: Ümmü Atıyye, Rasûlüllah (sallallahü aleyhi ve sellem)’i hatırladıkça: Anam sana kurban olsun) derdi. Ben de: sallallahü aleyhi ve sellem)’in şöyle buyurduğunu işitin mi?) dedim. O da: dedi. (Babam Anam Sana kurban olsun) dedi; Rasûlüllah (sallallahü aleyhi ve sellem)’in şöyle buyurduğunu aktardı: çağına gelen genç kızlar, hayız gören kadınlar, yaşlı kadınlar hayırlı toplantılar da ve Müslümanların davetlerinde bulunsunlar. Hayızlı kadınlar mescidlere girmesin ve uzakta dursunlar.) (Buhârî, Hayz: 24; İbn Mâce, İkametü’s Salat:)",3,43,Sahih,Sahih,Sahih - Agreed Upon
391,391,"Âişe (radıyallahü anha) anlatıyor: Rasûlüllah (sallallahü aleyhi ve sellem)’e; Safiye binti Huyey hayız oldu dedim. Rasûlüllah (sallallahü aleyhi ve sellem) de: halde bizi geciktirecek, sizinle Kâbe’yi tavaf etmemiş miydi?) buyurdu. Bende: tavaf etti) dedim. Bunun üzerine Rasûlüllah (sallallahü aleyhi ve sellem): ise yola çıkın) buyurdular. (Buhârî, Hayz: 28; Tirmizî, Hac:)",3,44,Sahih,Sahih,Sahih - Agreed Upon
392,392,"Esma binti Umeys (radıyallahü anha) anlatıyor: Zülhuleyfe denilen yerde aybaşı olmuştum. Rasûlüllah (sallallahü aleyhi ve sellem), Ebû Bekir’e: ona gusletsin ve telbiye getirsin) buyurdu. (Ebû Dâvûd, Menasik: 10; Müslim, Hac:)",3,45,Sahih,Sahih,Sahih
393,393,"Semure (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) ile beraber hayızlı iken vefat eden Ümmü Ka’b’ın cenaze namazını kıldık. Rasûlüllah (sallallahü aleyhi ve sellem) cemaatin ortasında idi veya cenazenin ortasına durmuş idi. (Buhârî, Hayz:)",3,46,Sahih,Sahih,Sahih - Agreed Upon
394,394,"Esma binti Ebû Bekir (radıyallahü anha)’dan: Münzir b. Fatıma kucağımda iken bir kadın elbiseye bulaşan hayız kanı hakkında fetva istedi: Rasûlüllah (sallallahü aleyhi ve sellem)’de: çitile, temizle ve namazını kıl) buyurdu. (Ebû Dâvûd, Tahara: 132; Buhârî, Hayz:)",3,47,Sahih,Sahih,Sahih
395,395,,3,48,Sahih,Sahih,Sahih
396,396,"Adiy b. Dinar (radıyallahü anh)’dan rivâyete göre, şöyle demiştir: Ümmü Kays binti Mıhsan’ın, Rasûlüllah (sallallahü aleyhi ve sellem)’e; Elbiseye bulaşan hayız kanından sorduğunu ve Rasûlüllah (sallallahü aleyhi ve sellem)’in de: su ve sabunla yıka) buyurduğunu işittim. (Ebû Dâvûd, Tahara: 132; Buhârî, Hayz:)",4,1,Sahih,Sahih,Sahih
397,397,,4,2,Sahih,Sahih,Isnaad Sahih
398,398,,4,3,Hasan Sahih,Sahih,Sahih
399,399,"Yine Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: durgun suya idrarını yapıp sonra da oradan gusül ve abdest almasın.) (Buhârî, Vudu’’: 73; Tirmizî, Tahara:)",4,4,Sahih,Sahih,Sahih
400,400,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştur: durgun suda gusletmesin) (Ebû Dâvûd, Tahara: 36; İbn Mâce, Tahara:)",4,5,Sahih Isnaad,Sahih Isnaad,Isnaad Sahih
401,401,"Câbir (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: Allah’a ve ahiret gününe inanıyorsa hamama çıplak vaziyette girmesin, peştamal kullansın.) (Buhârî, Gusül: 20; Müslim, Hayz:)",4,6,Sahih,Sahih,Hasan
402,402,"Abdullah b. Ebî Evfa (radıyallahü anh) anlatıyor: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle dua ederdi: Beni günah ve hatalarımdan temizle. Allah’ım! Beyaz elbisenin kirden temizlendiği gibi beni de günahlarımdan temizle. Allah’ım! Beni günahlarımdan kar, dolu ve soğuk su ile temizle.) (Buhârî, Deavat: 40; İbn Mâce, Dua:)",4,7,Sahih,Sahih,Sahih Muslim
403,403,"İbn ebi Evfa (radıyallahü anh)’dan rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle dua ederdi: Beni kar, dolu ve soğuk su ile temizle. Allah’ım! Beyaz elbisenin kirden temizlenişi gibi beni de günahlardan temizle.) (İbn Mâce, Dua: 3; Buhârî, Deavat:)",4,8,Sahih,Sahih,Sahih
404,404,"Abdullah b. ebî Kays (radıyallahü anh)’tan rivâyete göre, şöyle demiştir: Âişe (radıyallahü anha)’ya: sallallahü aleyhi ve sellem) cünüp olduğu zaman yatmadan önce mi gusleder yoksa gusletmeden mi yatardı) diye sordum. Âişe (radıyallahü anha): ikisinide yapardı yani bazen gusleder yatar bazen de abdest alır ve uyurdu.) (Müslim, Hayz: 6; Ebû Dâvûd, Tahara:)",4,9,Sahih,Sahih,Isnaad Sahih
405,405,"Gudayf b. el Haris (radıyallahü anh)’ten rivâyete göre, şöyle demiştir: Âişe (radıyallahü anha)’nın yanına geldim ve: sallallahü aleyhi ve sellem)’in gecenin önünde mi yoksa sonunda mı cünüplükten guslederdi) dedim. Âişe: ikisini de yapardı bazen gecenin önünde bazen da sonunda guslederdi) dedi. Ben de: işlerimizde bize kolaylık veren Allah’a hamdolsun dedim.) (Müslim, Hayz: 6; Ebû Dâvûd, Tahara:)",4,10,Sahih,Sahih,Sahih
406,406,"Ya’la (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) açıkta gusleden bir adam gördü, minbere çıktı. Allah’a hamdedip sena ederek şöyle dedi: halimdir, haya sahibidir, ayıp ve kusurları örter. Haya ve örtünmeyi sever, sizden biriniz gusledeceğinde kapalı yerde gusletsin.) (Ebû Dâvûd, Hamam: 2; Müsned:)",4,11,Sahih,Sahih,Sahih
407,407,"Safvan b. Ya’la (radıyallahü anh), babasından naklederek şöyle diyor: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: ayıpları ve kusurları örter. Sizden biriniz gusledeceğinizde çevresini bir şeyle örtsün.) (Ebû Dâvûd, Hamam: 2; Müsned:)",4,12,Hasan Sahih,Hasan Sahih,Sahih
408,408,"Meymune (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem)’e gusledeceği suyu hazırladım ve bir perde çektim. -Meymune, Rasûlüllah (sallallahü aleyhi ve sellem)’in guslünü anlattı- Sonra silinmek için kendisine bir hırka getirdim, kabul etmedi.) (İbn Mâce, Tahara: 113; Buhârî, Gusül:)",4,13,Sahih,Sahih,Sahih
409,409,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: Peygamber çıplak olarak guslediyordu. Yukarıdan üzerine altın bir çekirge düştü, elbisesiyle onu yakalamaya çalıştı. Bunun üzerine Rabbi: Eyyûb! Ben, seni zengin kılmadım mı?) buyurdu. Eyyûb (aleyhisselâm)’da: Ya Rabbi! Fakat senin bereket ve lütfuna her zaman muhtacım) dedi. (Buhârî, Gusül: 20; Müsned:)",4,14,Sahih,Sahih,Isnaad Sahih
410,410,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), Farak denilen bir kapta guslederdi. O ve ben bir kaptan guslederdik.) (Buhârî, Gusül: 2; Müslim, Hayz:)",4,15,Sahih,Sahih,Sahih
411,411,,4,16,Sahih Isnaad,Sahih Isnaad,Sahih
412,412,,4,17,Sahih,Sahih,Sahih
413,413,,4,18,Sahih,Sahih,Sahih
414,414,,4,19,Sahih,Sahih,Sahih
415,415,"Ümmü Hani (radıyallahü anha) anlatıyor: fethi günü, Rasûlüllah (sallallahü aleyhi ve sellem)’in yanına geldim, guslediyordu. Önüne bir perde gerdim, yanında hamur bulaşığı olan bir leğen vardı. Kuşluk namazını kıldı, gusül yaptıktan sonra kaç rekat kıldı bilmiyorum.) (Buhârî, Gusül: 21; İbn Mâce, Tahara:)",4,20,Shadh,Shadh,Isnaad Hasan
416,416,"Âişe (radıyallahü anha) anlatıyor: sallallahü aleyhi ve sellem) ile birlikte şu kaptan -yaklaşık olarak bir sa’ kadar bir kap- guslederdik: Gusletmeye beraber başlar ellerimle başıma üç sefer su dökerdim. Saçımın örgüsünü de çözmezdim.) (İbn Mâce, Tahara: 108; Müslim, Hayz:)",4,21,Sahih,Sahih,Sahih Muslim
417,417,"(Muhammed b. Münteşir, babasından aktarıyor ve şöyle diyor: İbn Ömer’den işittim şöyle diyordu: başıma katran sürerek ihrama girmem; üzerimde güzel koku kokarak ihrama girmemden daha hayırlıdır.) Bu sözleri duyar duymaz hemen Âişe (radıyallahü anha)’nın yanına gittim, kendisine İbn Ömer’in bu sözlerini naklettim. Bunun üzerine o da şöyle buyurdu: Rasûlüllah (sallallahü aleyhi ve sellem)’e güzel koku sürmüştüm, bu kokusuyla hanımlarını teker teker dolaştı. Sonra da ihrama girdi. (Buhârî, Gusül: 13; Müslim, Hac:)",4,22,Sahih,Sahih,Sahih - Agreed Upon
418,418,"Meymune (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), namaz abdesti gibi abdest aldı fakat ayaklarını yıkamadı. Avret yerini ve meni bulaşabilecek yerlerini yıkadı sonra baştan ayağa üzerine su döktü. Sonra bir kenara çekilip ayaklarını yıkadı.) Meymune diyor ki: kimsenin yıkanma şekli budur.) (Müslim, Hayz: 9; Ebû Dâvûd, Tahara:)",4,23,Sahih Isnaad,Sahih Isnaad,Sahih
419,419,,4,24,Sahih,Sahih,Sahih
420,420,,4,25,Sahih,Sahih,Sahih - Agreed Upon
421,421,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), abdest, gusül gibi temizlik işlerinde ayakkabı giymede, saçını taramada mümkün olduğu kadar sağdan başlamayı severdi.) (Buhârî, Salat: 47; İbn Mâce, Tahara:)",4,26,Sahih,Sahih,Sahih
422,422,"İbn Ömer (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Ömer, Rasûlüllah (sallallahü aleyhi ve sellem)’e cünüplükten dolayı nasıl gusledileceğini sordu. (Bu konudaki tüm hadisler şu mana üzerinde birleşirler) Gusül yapacak kimse önce sağ eline iki veya üç kere su döker sonra sağ elini su kabına sokarak sol eline su döküp, avret yerlerini tertemiz oluncaya kadar yıkar. Sonra dilerse sol elini toprağa sürer sonra sol eline iyice temizleninceye kadar su döker sonra iki elini de üç sefer yıkar. Ağzına ve burnuna su verir. Yüzünü ve kollarını üçer sefer yıkar. Başına gelince meshetmez su dökerdi. Rasûlüllah (sallallahü aleyhi ve sellem)’in böyle guslettiği rivâyet edilir.) (Ebû Dâvûd, Tahara: 98; Müslim, Hayz:)",4,27,Sahih Isnaad,Sahih Isnaad,Isnaad Sahih
423,423,,4,28,Sahih,Sahih,Sahih
424,424,"Yine Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), cünüplükten dolayı gusledeceğinde, süt sağılacak bir kap dolusu su ister, avucuyla suyu alıp başından sağ tarafına doğru döker sonra da sol tarafına döker sonra avucuyla suyu alır başına dökerdi.) (Buhârî, Gusül: 4; Tirmizî, Tahara:)",4,29,Sahih Isnaad,Sahih Isnaad,Sahih - Agreed Upon
425,425,"Cübeyr b. Mut’ım (radıyallahü anh)’den rivâyet edildiğine göre, Rasûlüllah (sallallahü aleyhi ve sellem)’in yanında gusülden söz edilince: guslederken başıma üç defa su dökerim) buyurdu. (Buhârî, Gusül: 4; Ebû Dâvûd, Tahara:)",4,30,Sahih,Sahih,Sahih
426,426,"Câbir (radıyallahü anh)’den rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem), guslederken başına üç sefer su dökerdi.) (Buhârî, Gusül: 4; Ebû Dâvûd, Tahara:)",4,31,Sahih,Sahih,Sahih - Agreed Upon
427,427,"Âişe (radıyallahü anha)’dan rivâyete göre, bir kadın Rasûlüllah (sallallahü aleyhi ve sellem)’e: Allah’ın Rasûlü! aybaşından temizlendiğimde nasıl gusledeceğim) diye sordu. Rasûlüllah (sallallahü aleyhi ve sellem)’de şöyle buyurdu: bir bez parçası al ve onunla temizlen) Kadın: bez parçasıyla nasıl temizleneyim?) dedi. Rasûlüllah (sallallahü aleyhi ve sellem): temizlen) buyurdu. Kadın tekrar: nasıl temizleneceğim) deyince; Rasûlüllah (sallallahü aleyhi ve sellem): deyip kadından yüzünü çevirdi.) Bu sefer ben (Rasûlüllah sallallahü aleyhi ve sellem)’in ne demek istediğini anladım o kadını tutup bir tarafa çektim ve Rasûlüllah (sallallahü aleyhi ve sellem)’in ne demek istediğini kendisine anlattım.) (Buhârî, Hayz: 15; İbn Mâce, Tahara:)",4,32,Sahih,Sahih,Sahih
428,428,,4,33,Sahih,Sahih,Sahih
429,429,"Cafer b. Muhammed (radıyallahü anh), babasından aktararak şöyle demiştir: Câbir b. Abdullah’ın yanına giderek veda haccına dair sorular sorduk. O da bize şunları anlattı: Rasûlüllah (sallallahü aleyhi ve sellem) ile birlikte Zilkade ayının bitmesine beş gün kala hac için yola çıkmıştık. Zulhuleyfe denilen yere vardığımızda Umeysin kızı Esma, Muhammed b. ebi Bekri doğurdu. Bunun üzerine Esma; Rasûlüllah (sallallahü aleyhi ve sellem)’e haber göndererek ne yapması gerektiğini sordu. Bunun üzerine Rasûlüllah (sallallahü aleyhi ve sellem) cevap olarak: sonra kan gelecek yere bez koy ve ihrama gir) buyurdular. (Ebû Dâvûd, Menâsik: 10; Müslim, Hac:)",4,34,Sahih,Sahih,Sahih
430,430,"Âişe (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem), gusülden sonra abdesti bozulmadıkça namaz için abdest almazdı. (Ebû Dâvûd, Tahara: 99; Tirmizî, Tahara:)",4,35,Sahih,Sahih,Daif
431,431,"Âişe (radıyallahü anha) şöyle demiştir: sallallahü aleyhi ve sellem)’e koku sürerdim, o kokuyla tüm hanımlarını dolaşır ve gusleder sabahleyin de ihrama girer ve o koku çevresine yayılırdı.) (Buhârî, Gusül: 1; İbn Mâce, Tahara:)",4,36,Sahih,Sahih,Sahih
432,432,"Câbir b. Abdullah (radıyallahü anh)’dan rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: önce hiçbir peygambere verilmeyen beş özellik bana verilmiştir; 1- Bir aylık mesafedeki düşmana bile korku salmak, 2- Yeryüzü benim için temiz ve 3- Mescid kılındı, ümmetime namaz vakti nerede gelirse orada namazı kılar. 4- Hiçbir peygambere verilmeyen şefaat hakkı bana verildi. 5- Her peygamber kendi toplumuna gönderildiği halde ben bütün insanlara gönderilmiş bir peygamberim.) (Müslim, Mesacid: 1; Dârimi, Tahara:)",4,37,Sahih,Sahih,Sahih - Agreed Upon
433,433,"Ebû Said (radıyallahü anh)’ten rivâyete göre, şöyle demiştir: kişi teyemmüm ederek namazlarını kılmışlardı. O namaz vakti çıkmadan da su bulmuşlardı. Onlardan biri su ile abdest alıp namazını tekrar kıldı. Diğeri ise namazını tekrar kılmadı. İkisi birden durumu Rasûlüllah (sallallahü aleyhi ve sellem)’e sordular. Rasûlüllah (sallallahü aleyhi ve sellem), namazı tekrar etmeyen kimseye şöyle buyurdu: uyup doğruyu yapmışsın, namazın tamamdır.) Diğer kimseye de: da kıldığın namaz kadar sevap vardır) buyurdular. (Ebû Dâvûd, Tahara: 128; Dârimi, Tahara:)",4,38,Sahih,Sahih,Isnaad Hasan
434,434,,4,39,,,Sahih
434.2,434.2,,4,40,,,
435,435,"İbn Abbâs (radıyallahü anh)’tan rivâyete göre, şöyle demiştir: Ali, Mikdad ve Ammar kendi aralarında konuşurken Ali diyor ki: Benden çok mezi geliyor, kızı hanımım olduğu için bunu Rasûlüllah (sallallahü aleyhi ve sellem)’e sormaya utanıyorum. Biriniz benim için sorsanız ve bana anlatsanız. -Hangisi sormuştu onu unuttum- birisi sorduğunda; Rasûlüllah (sallallahü aleyhi ve sellem) ona: mezidir, sizden birinden mezi gelirse organını yıkasın, namaz abdesti gibi abdest alsın.) (Ebû Dâvûd, Tahara: 82; İbn Mâce, Tahara:)",4,41,Sahih Isnaad,Sahih Isnaad,Sahih
436,436,"Ali (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Çok mezi gelen bir kimseyim, bir kimseye bu durumu Rasûlüllah (sallallahü aleyhi ve sellem)’e sormasını emrettim. O da şöyle buyurmuştu: dolayı abdest almak yeterlidir.) (Ebû Dâvûd, Tahara: 82; İbn Mâce, Tahara:)",4,42,Sahih Lighairihi,Sahih,Sahih
437,437,"Ali (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Fatıma hanımım olduğu için Rasûlüllah (sallallahü aleyhi ve sellem)’e mezi’nin hükmünü sormaya utanmıştım. Mıkdad’a emrettim. O sordu. Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştu: almak yeterlidir.) (Ebû Dâvûd, Tahara: 82; İbn Mâce, Tahara:)",4,43,Sahih,Sahih,Sahih Muslim
438,438,"Ali (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Mıkdad’ı Rasûlüllah (sallallahü aleyhi ve sellem)’e mezinin hükmünü sorması için göndermiştim de, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştu: organını yıka ve abdest al.) (Ebû Dâvûd, Tahara: 82; İbn Mâce, Tahara:)",4,44,Sahih,Sahih,Sahih Muslim
439,439,"Süleyman b. Yesar (radıyallahü anh)’dan rivâyete göre, şöyle demiştir: Ali b. ebi Talib, Mıkdad’ı, Rasûlüllah (sallallahü aleyhi ve sellem)’e mezi gelen adamın ne yapması gerektiği hakkında soru sormaya göndermişti de Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: organını yıka ve abdest al.) (Ebû Dâvûd, Tahara: 82; İbn Mâce, Tahara:)",4,45,Sahih Lighairihi,Sahih,Sahih
440,440,"Ali (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Mıkdad’ı, Rasûlüllah (sallallahü aleyhi ve sellem)’e karısının yanında kendisinden mezi gelen adamın ne yapması gerektiğini sormak üzere göndermiştim. Çünkü kızı fatıma benim hanımım olduğu için bunu sormaya utanmıştım. Mıkdad, bunu sormuştu da Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurmuştu: böyle bir durum meydana gelirse tenasül organını yıkasın, namaz abdesti gibi abdest alsın.) (Ebû Dâvûd, Tahara: 82; İbn Mâce, Tahara:)",4,46,Sahih,Sahih,Daif
441,441,"Ebû Hüreyre (radıyallahü anh)’den rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: uykudan uyanınca elini iki veya üç defa yıkamadan su kabına sokmasın. Çünkü elinin uykuda nereye dokunduğunu bilemez.) (Ebû Dâvûd, Tahara: 82; İbn Mâce, Tahara:)",4,47,Sahih,Sahih,Isnaad Sahih
442,442,"İbn Abbâs (radıyallahü anh)’den rivâyete göre, şöyle demiştir: sallallahü aleyhi ve sellem) ile birlikte bir gece namaz kılmak için sol tarafına durmuştum beni sağ tarafına çekti, namaz kıldıktan sonra yatıp uzandı. Müezzin gelip çağırınca abdest almadan namaz kıldı.) (Ebû Dâvûd, Tahara: 80; Tirmizî, Tahara:)",4,48,Sahih,Sahih,Sahih - Agreed Upon
443,443,"Enes (radıyallahü anh)’den rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: uyuklayan kimse namazını bıraksın ve yatsın.) (Ebû Dâvûd, Tahara: 80; Müslim, Hayz:)",4,49,Sahih,Sahih,Sahih Bukhari
444,444,"Büsre (radıyallahü anha)’dan rivâyete göre, şöyle demiştir: Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: organına dokunan abdest alsın.) (Ebû Dâvûd, Tahara: 70; Müslim, Tahara:)",4,50,Sahih,Sahih,Sahih
445,445,"Büsre binti Safvan (radıyallahü anha)’dan rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: eliyle tenasül organına dokunursa abdest alsın.) (Ebû Dâvûd, Tahara: 70; Müslim, Tahara:)",4,51,Sahih Isnaad,Sahih Isnaad,Sahih
446,446,"Mervan b. Hakem (radıyallahü anh)’den rivâyete göre, şöyle demiştir: almak tenasül organına dokunmaktan dolayıdır.) Mervan diyor ki: Büsre bana böyle bildirdi: Urve mürsel olarak bu hadisi aktardı ve şöyle dedi: Rasûlüllah (sallallahü aleyhi ve sellem): organına dokunmadan dolayı abdest gerekir) buyurmuştu.) (Ebû Dâvûd, Tahara: 70; Muvatta', Tahara:)",4,52,Sahih,Sahih,Sahih
447,447,"Yine Büsre binti Safvan (radıyallahü anha)’dan rivâyete göre, Rasûlüllah (sallallahü aleyhi ve sellem) şöyle buyurdu: organına dokunan kimse abdest almadan namaz kılmasın.) (Ebû Dâvûd, Tahara: 70; Muvatta', Tahara:)",4,53,Sahih Isnaad,Sahih Isnaad,Sahih
448,448,"Mâlik b. Sa’saa (radıyallahü anh)’den rivâyete göre, Peygamber (sallallahü aleyhi ve sellem) şöyle buyurdu: yanında uyku ile uyanıklık arasında idim. O esnada üç kişiden birisi yanıma yaklaştı, içerisi hikmet ve iman dolu bir altın tas getirildi, o kişi göğsümden karnımın aşağısına kadar yardı, kalbimi su ve zemzem ile yıkadı, hikmet ve iman ile doldurdu. Sonra katırdan küçük eşekten büyük bir binit getirildi. Cibril (aleyhisselâm) ile birlikte yola devam ettik. Dünya semasına varınca kim o denildi. Cibril: Cibril’im) dedi. Yanındaki kimdir? Denilince; Cibril: dedi. O peygamber olarak gönderildi mi? Cibril: dedi. Hoş geldi sefa geldi, ne mutlu geliş denildi. (aleyhisselâm)’ın yanına varıp selâm verdim. Merhaba oğul ve peygamber dedi. Sonra ikinci semaya geldik. Kim o denildi. Cibril: Cibril’im) dedi. Yanındaki kimdir? denildi. (Muhammed’dir) dedi. Burada da aynı şekilde karşılandık. Burada da Yahya ve Îsa (aleyhisselâm)’a selâm verdim. Merhaba kardeş ve peygamber dediler. Sonra üçüncü semaya vardık, (Kim O) denildi. Cibril: Cibril’im) dedi. Yanındaki kimdir denildi. (Muhammed) dedi. Yine aynı şekilde karşılandık, burada da Yusuf (aleyhisselâm)’ın yanına varıp selâm verdim. O da: Merhaba kardeş ve peygamber dedi. Sonra dördüncü semaya vardık, orada da aynı şekilde karşılandık. Orada da İdris (aleyhisselâm)’ın yanına vardım ve selâm verdim. O da: kardeş ve peygamber) dedi. Sonra beşinci semaya vardık aynı şekilde karşılandık. Orada da Harun (aleyhisselâm)’a gelip selâm verdim. O da: kardeş ve peygamber) dedi. Sonra altıncı semaya vardık, orada da aynı şekilde karşılandık. Mûsâ (aleyhisselâm)’a varıp selâm verdim. O da: Merhaba kardeş ve peygamber dedi. Yanından ayrılınca ağladı. Neden ağlıyorsun denilince şöyle dedi: Ya Rab! Benden sonra peygamber olarak gönderdiğin bu delikanlının ümmeti benim ümmetimden daha üstün olup pek çoğu Cennete girecekler. Sonra yedinci semaya vardık, aynı şekilde karşılandık. Orada da İbrahim (aleyhisselâm)’a vardım ve selâm verdim. O da: peygamber oğlu peygamber) dedi. Sonra beyti Mamur denilen yere çıkarıldım. Oranın ne olduğunu Cibril’e sorunca şöyle dedi: Burası Beyti Mamur’dur; burada her gün yetmiş bin melek namaz kılar, buradan çıkan bir daha buraya giremez. Sonra bana Sidretül Münteha yaklaştırıldı. Bir de baktım ki meyveleri Hecer testileri gibi yaprakları ise fil kulakları gibidir. Ağacın altında ikisi zahir, ikisi batın dört nehir akmaktadır. Bunları Cibril’e sordum. O da şöyle dedi: denilenler Cennettedir; Zahır olanlar ise Bu’ta ve Nil’dir. Sonra bana elli vakit namaz farz kılındı. Mûsâ (aleyhisselâm)’ın yanına dönünce; (ne yaptın?) dedi. Ben de: elli vakit namaz, farz kılındı) dedim. Mûsâ: insanları senden iyi tanırım; İsrailoğullarından neler neler çektim, senin ümmetin bu elli vakit namaza hiç dayanamaz. Rabbine dön, bu yükün biraz hafifletilmesini iste) deyince; Rabbime döndüm ve biraz hafifletmesini istedim. Kırk vakte indirdi. Tekrar Mûsâ’nın yanına dönünce: yaptın?) dedi. (Kırk vakte indirdi) dedim. Bana yine ilk sözünü söyleyince, yine Rabbime döndüm; otuz vakte indirdi. Yine Mûsâ’ya döndüm bana aynı ilk sözünü söyleyince yine Rabbime döndüm, yirmi vakte indirdi. Sonra on, sonra beş’e indirdi. Yine Mûsâ’ya geldim, bana yine aynı ilk sözü söyleyince: tekrar dönmeye utanırım) dedim. Bunun üzerine Allah şöyle buyurdu: farz kıldığım yükü hafiflettim, böylece ibadet ve iyiliklerini on katıyla mükafatlandıracağım.) (Buhârî, Salat: 1; Müslim, İman:)",5,1,Sahih,Sahih,Sahih - Agreed Upon
