hadithnumber,arabicnumber,text,book,hadith,Al-Albani,Muhammad Muhyi Al-Din Abdul Hamid,Shuaib Al Arnaut,Zubair Ali Zai
764,764,"حدثنا عمرو بن مرزوق، اخبرنا شعبة، عن عمرو بن مرة، عن عاصم العنزي، عن ابن جبير بن مطعم، عن ابيه، انه راى رسول الله صلى الله عليه وسلم يصلي صلاة قال عمرو لا ادري اى صلاة هي فقال "" الله اكبر كبيرا الله اكبر كبيرا الله اكبر كبيرا والحمد لله كثيرا والحمد لله كثيرا والحمد لله كثيرا وسبحان الله بكرة واصيلا "" . ثلاثا "" اعوذ بالله من الشيطان من نفخه ونفثه وهمزه "" . قال نفثه الشعر ونفخه الكبر وهمزه الموتة",2,374,Daif,Daif,Hasan Lighairihi,Isnaad Hasan
765,765,حدثنا مسدد، حدثنا يحيى، عن مسعر، عن عمرو بن مرة، عن رجل، عن نافع بن جبير، عن ابيه، قال سمعت النبي صلى الله عليه وسلم يقول في التطوع ذكر نحوه,2,375,Daif,Daif,Hasan Lighairihi,Hasan
766,766,"حدثنا محمد بن رافع، حدثنا زيد بن الحباب، اخبرني معاوية بن صالح، اخبرني ازهر بن سعيد الحرازي، عن عاصم بن حميد، قال سالت عايشة باى شىء كان يفتتح رسول الله صلى الله عليه وسلم قيام الليل فقالت لقد سالتني عن شىء ما سالني عنه احد قبلك كان اذا قام كبر عشرا وحمد الله عشرا وسبح عشرا وهلل عشرا واستغفر عشرا وقال "" اللهم اغفر لي واهدني وارزقني وعافني "" . ويتعوذ من ضيق المقام يوم القيامة . قال ابو داود ورواه خالد بن معدان عن ربيعة الجرشي عن عايشة نحوه",2,376,Hasan Sahih,Hasan Sahih,Hasan,Isnaad Hasan
767,767,"حدثنا ابن المثنى، حدثنا عمر بن يونس، حدثنا عكرمة، حدثني يحيى بن ابي كثير، حدثني ابو سلمة بن عبد الرحمن بن عوف، سالت عايشة باى شىء كان نبي الله صلى الله عليه وسلم يفتتح صلاته اذا قام من الليل قالت كان اذا قام من الليل يفتتح صلاته "" اللهم رب جبريل وميكاييل واسرافيل فاطر السموات والارض عالم الغيب والشهادة انت تحكم بين عبادك فيما كانوا فيه يختلفون اهدني لما اختلف فيه من الحق باذنك انك انت تهدي من تشاء الى صراط مستقيم",2,377,Hasan,Hasan,Hasan,Sahih Muslim (770)
768,768,حدثنا محمد بن رافع، حدثنا ابو نوح، قراد حدثنا عكرمة، باسناده بلا اخبار ومعناه قال كان اذا قام بالليل كبر ويقول,2,378,Hasan,Hasan,Hasan,Sahih
769,769,حدثنا القعنبي، عن مالك، قال لا باس بالدعاء في الصلاة في اوله واوسطه وفي اخره في الفريضة وغيرها,2,379,Sahih Maqtu,Sahih Maqtu,,Isnaad Sahih
770,770,"حدثنا القعنبي، عن مالك، عن نعيم بن عبد الله المجمر، عن علي بن يحيى الزرقي، عن ابيه، عن رفاعة بن رافع الزرقي، قال كنا يوما نصلي وراء رسول الله صلى الله عليه وسلم فلما رفع رسول الله صلى الله عليه وسلم راسه من الركوع قال "" سمع الله لمن حمده "" . قال رجل وراء رسول الله صلى الله عليه وسلم اللهم ربنا ولك الحمد حمدا كثيرا طيبا مباركا فيه فلما انصرف رسول الله صلى الله عليه وسلم قال "" من المتكلم بها انفا "" . فقال الرجل انا يا رسول الله . فقال رسول الله صلى الله عليه وسلم "" لقد رايت بضعة وثلاثين ملكا يبتدرونها ايهم يكتبها اول",2,380,Sahih,Sahih,Sahih,Sahih Bukhari (799)
771,771,"حدثنا عبد الله بن مسلمة، عن مالك، عن ابي الزبير، عن طاوس، عن ابن عباس، ان رسول الله صلى الله عليه وسلم كان اذا قام الى الصلاة من جوف الليل يقول "" اللهم لك الحمد انت نور السموات والارض ولك الحمد انت قيام السموات والارض ولك الحمد انت رب السموات والارض ومن فيهن انت الحق وقولك الحق ووعدك الحق ولقاوك حق والجنة حق والنار حق والساعة حق اللهم لك اسلمت وبك امنت وعليك توكلت واليك انبت وبك خاصمت واليك حاكمت فاغفر لي ما قدمت واخرت واسررت واعلنت انت الهي لا اله الا انت",2,381,Sahih,Sahih,Sahih,Sahih Muslim (769)
772,772,"حدثنا ابو كامل، حدثنا خالد، - يعني ابن الحارث - حدثنا عمران بن مسلم، ان قيس بن سعد، حدثه قال حدثنا طاوس، عن ابن عباس، ان رسول الله صلى الله عليه وسلم كان في التهجد يقول بعد ما يقول "" الله اكبر "" . ثم ذكر معناه",2,382,Sahih,Sahih,Sahih,Sahih Muslim (769)
773,773,"حدثنا قتيبة بن سعيد، وسعيد بن عبد الجبار، نحوه قال قتيبة حدثنا رفاعة بن يحيى بن عبد الله بن رفاعة بن رافع، عن عم، ابيه معاذ بن رفاعة بن رافع عن ابيه، قال صليت خلف رسول الله صلى الله عليه وسلم فعطس رفاعة لم يقل قتيبة رفاعة فقلت الحمد لله حمدا كثيرا طيبا مباركا فيه مباركا عليه كما يحب ربنا ويرضى فلما صلى رسول الله صلى الله عليه وسلم انصرف فقال "" من المتكلم في الصلاة "" . ثم ذكر نحو حديث مالك واتم منه",2,383,Hasan,Hasan,Hasan,Isnaad Hasan
774,774,"حدثنا العباس بن عبد العظيم، حدثنا يزيد بن هارون، اخبرنا شريك، عن عاصم بن عبيد الله، عن عبد الله بن عامر بن ربيعة، عن ابيه، قال عطس شاب من الانصار خلف رسول الله صلى الله عليه وسلم وهو في الصلاة فقال الحمد لله حمدا كثيرا طيبا مباركا فيه حتى يرضى ربنا وبعد ما يرضى من امر الدنيا والاخرة فلما انصرف رسول الله صلى الله عليه وسلم قال "" من القايل الكلمة "" . قال فسكت الشاب ثم قال "" من القايل الكلمة فانه لم يقل باسا "" . فقال يا رسول الله انا قلتها لم ارد بها الا خيرا . قال "" ما تناهت دون عرش الرحمن تبارك وتعالى",2,384,Daif,Daif,Daif,Daif
775,775,"حدثنا عبد السلام بن مطهر، حدثنا جعفر، عن علي بن علي الرفاعي، عن ابي المتوكل الناجي، عن ابي سعيد الخدري، قال كان رسول الله صلى الله عليه وسلم اذا قام من الليل كبر ثم يقول "" سبحانك اللهم وبحمدك وتبارك اسمك وتعالى جدك ولا اله غيرك "" . ثم يقول "" لا اله الا الله "" . ثلاثا ثم يقول "" الله اكبر كبيرا "" . ثلاثا "" اعوذ بالله السميع العليم من الشيطان الرجيم من همزه ونفخه ونفثه "" . ثم يقرا . قال ابو داود وهذا الحديث يقولون هو عن علي بن علي عن الحسن مرسلا الوهم من جعفر",2,385,Sahih,Sahih,Sahih Lighairihi,Isnaad Hasan
776,776,"حدثنا حسين بن عيسى، حدثنا طلق بن غنام، حدثنا عبد السلام بن حرب الملايي، عن بديل بن ميسرة، عن ابي الجوزاء، عن عايشة، قالت كان رسول الله صلى الله عليه وسلم اذا استفتح الصلاة قال "" سبحانك اللهم وبحمدك وتبارك اسمك وتعالى جدك ولا اله غيرك "" . قال ابو داود وهذا الحديث ليس بالمشهور عن عبد السلام بن حرب لم يروه الا طلق بن غنام وقد روى قصة الصلاة عن بديل جماعة لم يذكروا فيه شييا من هذا",2,386,Sahih,Sahih,Sahih Lighairihi,Sahih
777,777,حدثنا يعقوب بن ابراهيم، حدثنا اسماعيل، عن يونس، عن الحسن، قال قال سمرة حفظت سكتتين في الصلاة سكتة اذا كبر الامام حتى يقرا وسكتة اذا فرغ من فاتحة الكتاب وسورة عند الركوع قال فانكر ذلك عليه عمران بن حصين قال فكتبوا في ذلك الى المدينة الى ابى فصدق سمرة . قال ابو داود كذا قال حميد في هذا الحديث وسكتة اذا فرغ من القراءة,2,387,Daif,Daif,,Isnaad Sahih
778,778,حدثنا ابو بكر بن خلاد، حدثنا خالد بن الحارث، عن اشعث، عن الحسن، عن سمرة بن جندب، عن النبي صلى الله عليه وسلم انه كان يسكت سكتتين اذا استفتح واذا فرغ من القراءة كلها . فذكر معنى حديث يونس,2,388,Daif,Daif,,Sahih
779,779,حدثنا مسدد، حدثنا يزيد، حدثنا سعيد، حدثنا قتادة، عن الحسن، ان سمرة بن جندب، وعمران بن حصين، تذاكرا فحدث سمرة بن جندب، انه حفظ عن رسول الله صلى الله عليه وسلم سكتتين سكتة اذا كبر وسكتة اذا فرغ من قراءة { غير المغضوب عليهم ولا الضالين } فحفظ ذلك سمرة وانكر عليه عمران بن حصين فكتبا في ذلك الى ابى بن كعب وكان في كتابه اليهما او في رده عليهما ان سمرة قد حفظ,2,389,Daif,Daif,,Daif
780,780,حدثنا ابن المثنى، حدثنا عبد الاعلى، حدثنا سعيد، بهذا قال عن قتادة، عن الحسن، عن سمرة، قال سكتتان حفظتهما عن رسول الله صلى الله عليه وسلم . قال فيه قال سعيد قلنا لقتادة ما هاتان السكتتان قال اذا دخل في صلاته واذا فرغ من القراءة ثم قال بعد واذا قال { غير المغضوب عليهم ولا الضالين},2,390,Daif,Daif,,Daif
781,781,"حدثنا احمد بن ابي شعيب، حدثنا محمد بن فضيل، عن عمارة، ح وحدثنا ابو كامل، حدثنا عبد الواحد، عن عمارة، - المعنى - عن ابي زرعة، عن ابي هريرة، قال كان رسول الله صلى الله عليه وسلم اذا كبر في الصلاة سكت بين التكبير والقراءة فقلت له بابي انت وامي ارايت سكوتك بين التكبير والقراءة اخبرني ما تقول . قال "" اللهم باعد بيني وبين خطاياى كما باعدت بين المشرق والمغرب اللهم انقني من خطاياى كالثوب الابيض من الدنس اللهم اغسلني بالثلج والماء والبرد",2,391,Sahih,Sahih,Sahih,Sahih Bukhari (744) Sahih Muslim (598)
782,782,حدثنا مسلم بن ابراهيم، حدثنا هشام، عن قتادة، عن انس، ان النبي صلى الله عليه وسلم وابا بكر وعمر وعثمان كانوا يفتتحون القراءة ب { الحمد لله رب العالمين},2,392,Sahih,Sahih,Sahih,Sahih Bukhari (743) Sahih Muslim (399)
783,783,"حدثنا مسدد، حدثنا عبد الوارث بن سعيد، عن حسين المعلم، عن بديل بن ميسرة، عن ابي الجوزاء، عن عايشة، قالت كان رسول الله صلى الله عليه وسلم يفتتح الصلاة بالتكبير والقراءة ب { الحمد لله رب العالمين } وكان اذا ركع لم يشخص راسه ولم يصوبه ولكن بين ذلك وكان اذا رفع راسه من الركوع لم يسجد حتى يستوي قايما وكان اذا رفع راسه من السجود لم يسجد حتى يستوي قاعدا وكان يقول في كل ركعتين "" التحيات "" . وكان اذا جلس يفرش رجله اليسرى وينصب رجله اليمنى وكان ينهى عن عقب الشيطان وعن فرشة السبع وكان يختم الصلاة بالتسليم",2,393,Sahih,Sahih,Sahih,Sahih Muslim (498)
784,784,"حدثنا هناد بن السري، حدثنا ابن فضيل، عن المختار بن فلفل، قال سمعت انس بن مالك، يقول قال رسول الله صلى الله عليه وسلم "" انزلت على انفا سورة "" . فقرا بسم الله الرحمن الرحيم { انا اعطيناك الكوثر } حتى ختمها . قال "" هل تدرون ما الكوثر "" . قالوا الله ورسوله اعلم . قال "" فانه نهر وعدنيه ربي في الجنة",2,394,Hasan,Hasan,Sahih,Sahih Muslim (400)
785,785,"حدثنا قطن بن نسير، حدثنا جعفر، حدثنا حميد الاعرج المكي، عن ابن شهاب، عن عروة، عن عايشة، وذكر الافك، قالت جلس رسول الله صلى الله عليه وسلم وكشف عن وجهه وقال "" اعوذ بالسميع العليم من الشيطان الرجيم { ان الذين جاءوا بالافك عصبة منكم } "" . الاية . قال ابو داود وهذا حديث منكر قد روى هذا الحديث جماعة عن الزهري لم يذكروا هذا الكلام على هذا الشرح واخاف ان يكون امر الاستعاذة من كلام حميد",2,395,Daif,Daif,Daif,Daif
786,786,"اخبرنا عمرو بن عون، اخبرنا هشيم، عن عوف، عن يزيد الفارسي، قال سمعت ابن عباس، قال قلت لعثمان بن عفان ما حملكم ان عمدتم، الى براءة وهي من الميين والى الانفال وهي من المثاني فجعلتموهما في السبع الطول ولم تكتبوا بينهما سطر { بسم الله الرحمن الرحيم } قال عثمان كان النبي صلى الله عليه وسلم مما ينزل عليه الايات فيدعو بعض من كان يكتب له ويقول له "" ضع هذه الاية في السورة التي يذكر فيها كذا وكذا "" . وتنزل عليه الاية والايتان فيقول مثل ذلك وكانت الانفال من اول ما انزل عليه بالمدينة وكانت براءة من اخر ما نزل من القران وكانت قصتها شبيهة بقصتها فظننت انها منها فمن هناك وضعتهما في السبع الطول ولم اكتب بينهما سطر { بسم الله الرحمن الرحيم}",2,396,Daif,,Daif,Hasan
787,787,حدثنا زياد بن ايوب، حدثنا مروان، - يعني ابن معاوية - اخبرنا عوف الاعرابي، عن يزيد الفارسي، حدثنا ابن عباس، بمعناه قال فيه فقبض رسول الله صلى الله عليه وسلم ولم يبين لنا انها منها . قال ابو داود قال الشعبي وابو مالك وقتادة وثابت بن عمارة ان النبي صلى الله عليه وسلم لم يكتب { بسم الله الرحمن الرحيم } حتى نزلت سورة النمل هذا معناه,2,397,Daif,Daif,Daif,Isnaad Hasan
788,788,حدثنا قتيبة بن سعيد، واحمد بن محمد المروزي، وابن السرح، قالوا حدثنا سفيان، عن عمرو، عن سعيد بن جبير، - قال قتيبة فيه - عن ابن عباس، قال كان النبي صلى الله عليه وسلم لا يعرف فصل السورة حتى تنزل عليه { بسم الله الرحمن الرحيم } . وهذا لفظ ابن السرح,2,398,Sahih,Sahih,,Sahih
789,789,"حدثنا عبد الرحمن بن ابراهيم، حدثنا عمر بن عبد الواحد، وبشر بن بكر، عن الاوزاعي، عن يحيى بن ابي كثير، عن عبد الله بن ابي قتادة، عن ابيه، قال قال رسول الله صلى الله عليه وسلم "" اني لاقوم الى الصلاة وانا اريد ان اطول فيها فاسمع بكاء الصبي فاتجوز كراهية ان اشق على امه",2,399,Sahih,Sahih,Sahih,Sahih Bukhari (707)
790,790,"حدثنا احمد بن حنبل، حدثنا سفيان، عن عمرو، سمعه من، جابر قال كان معاذ يصلي مع النبي صلى الله عليه وسلم ثم يرجع فيومنا - قال مرة ثم يرجع فيصلي بقومه - فاخر النبي صلى الله عليه وسلم ليلة الصلاة - وقال مرة العشاء - فصلى معاذ مع النبي صلى الله عليه وسلم ثم جاء يوم قومه فقرا البقرة فاعتزل رجل من القوم فصلى فقيل نافقت يا فلان . فقال ما نافقت . فاتى رسول الله صلى الله عليه وسلم فقال ان معاذا يصلي معك ثم يرجع فيومنا يا رسول الله وانما نحن اصحاب نواضح ونعمل بايدينا وانه جاء يومنا فقرا بسورة البقرة . فقال "" يا معاذ افتان انت افتان انت اقرا بكذا اقرا بكذا "" . قال ابو الزبير ب { سبح اسم ربك الاعلى } { والليل اذا يغشى } فذكرنا لعمرو فقال اراه قد ذكره",2,400,Sahih,Sahih,Sahih,Sahih Bukhari (700) Sahih Muslim (465)
791,791,"حدثنا موسى بن اسماعيل، حدثنا طالب بن حبيب، سمعت عبد الرحمن بن جابر، يحدث عن حزم بن ابى بن كعب، انه اتى معاذ بن جبل وهو يصلي بقوم صلاة المغرب في هذا الخبر قال فقال رسول الله صلى الله عليه وسلم "" يا معاذ لا تكن فتانا فانه يصلي وراءك الكبير والضعيف وذو الحاجة والمسافر",2,401,Daif,Munkar,,Daif
792,792,"حدثنا عثمان بن ابي شيبة، حدثنا حسين بن علي، عن زايدة، عن سليمان، عن ابي صالح، عن بعض، اصحاب النبي صلى الله عليه وسلم قال قال النبي صلى الله عليه وسلم لرجل "" كيف تقول في الصلاة "" . قال اتشهد واقول اللهم اني اسالك الجنة واعوذ بك من النار اما اني لا احسن دندنتك ولا دندنة معاذ . فقال النبي صلى الله عليه وسلم "" حولها ندندن",2,402,Sahih,Sahih,Sahih,Daif
793,793,"حدثنا يحيى بن حبيب، حدثنا خالد بن الحارث، حدثنا محمد بن عجلان، عن عبيد الله بن مقسم، عن جابر، ذكر قصة معاذ قال وقال - يعني النبي صلى الله عليه وسلم للفتى - "" كيف تصنع يا ابن اخي اذا صليت "" . قال اقرا بفاتحة الكتاب واسال الله الجنة واعوذ به من النار واني لا ادري ما دندنتك ولا دندنة معاذ . فقال رسول الله صلى الله عليه وسلم "" اني ومعاذ حول هاتين "" . او نحو هذا",2,403,Sahih,Sahih,Sahih Lighairihi,Hasan
794,794,"حدثنا القعنبي، عن مالك، عن ابي الزناد، عن الاعرج، عن ابي هريرة، ان النبي صلى الله عليه وسلم قال "" اذا صلى احدكم للناس فليخفف فان فيهم الضعيف والسقيم والكبير واذا صلى لنفسه فليطول ما شاء",2,404,,Sahih,Sahih,Sahih Bukhari (703)
795,795,"حدثنا الحسن بن علي، حدثنا عبد الرزاق، اخبرنا معمر، عن الزهري، عن ابن المسيب، وابي، سلمة عن ابي هريرة، ان النبي صلى الله عليه وسلم قال "" اذا صلى احدكم للناس فليخفف فان فيهم السقيم والشيخ الكبير وذا الحاجة",2,405,Sahih,Sahih,Sahih,Sahih
796,796,"حدثنا قتيبة بن سعيد، عن بكر، - يعني ابن مضر - عن ابن عجلان، عن سعيد المقبري، عن عمر بن الحكم، عن عبد الله بن عنمة المزني، عن عمار بن ياسر، قال سمعت رسول الله صلى الله عليه وسلم يقول "" ان الرجل لينصرف وما كتب له الا عشر صلاته تسعها ثمنها سبعها سدسها خمسها ربعها ثلثها نصفها",2,406,Hasan,Hasan,Hasan,Daif
797,797,حدثنا موسى بن اسماعيل، حدثنا حماد، عن قيس بن سعد، وعمارة بن ميمون، وحبيب، عن عطاء بن ابي رباح، ان ابا هريرة، قال في كل صلاة يقرا فما اسمعنا رسول الله صلى الله عليه وسلم اسمعناكم وما اخفى علينا اخفينا عليكم,2,407,Sahih,Sahih,Sahih,Sahih Bukhari (772) Sahih Muslim (396)
798,798,حدثنا مسدد، حدثنا يحيى، عن هشام بن ابي عبد الله، ح وحدثنا ابن المثنى، حدثنا ابن ابي عدي، عن الحجاج، - وهذا لفظه - عن يحيى، عن عبد الله بن ابي قتادة، - قال ابن المثنى وابي سلمة ثم اتفقا - عن ابي قتادة، قال كان رسول الله صلى الله عليه وسلم يصلي بنا فيقرا في الظهر والعصر في الركعتين الاوليين بفاتحة الكتاب وسورتين ويسمعنا الاية احيانا وكان يطول الركعة الاولى من الظهر ويقصر الثانية وكذلك في الصبح . قال ابو داود لم يذكر مسدد فاتحة الكتاب وسورة,2,408,Sahih,Sahih,Sahih,Sahih Bukhari (762) Sahih Muslim (451)
799,799,حدثنا الحسن بن علي، حدثنا يزيد بن هارون، اخبرنا همام، وابان بن يزيد العطار، عن يحيى، عن عبد الله بن ابي قتادة، عن ابيه، ببعض هذا وزاد في الاخريين بفاتحة الكتاب . وزاد عن همام قال وكان يطول في الركعة الاولى ما لا يطول في الثانية وهكذا في صلاة العصر وهكذا في صلاة الغداة,2,409,Sahih,Sahih,Sahih,Sahih Bukhari (776) Sahih Muslim (451)
800,800,حدثنا الحسن بن علي، حدثنا عبد الرزاق، اخبرنا معمر، عن يحيى، عن عبد الله بن ابي قتادة، عن ابيه، قال فظننا انه يريد بذلك ان يدرك الناس الركعة الاولى,2,410,Sahih,Sahih,Sahih,Sahih Bukhari (776) Sahih Muslim (451)
801,801,حدثنا مسدد، حدثنا عبد الواحد بن زياد، عن الاعمش، عن عمارة بن عمير، عن ابي معمر، قال قلنا لخباب هل كان رسول الله صلى الله عليه وسلم يقرا في الظهر والعصر قال نعم . قلنا بم كنتم تعرفون ذاك قال باضطراب لحيته,2,411,Sahih,Sahih,Sahih,Sahih Bukhari (746)
802,802,حدثنا عثمان بن ابي شيبة، حدثنا عفان، حدثنا همام، حدثنا محمد بن جحادة، عن رجل، عن عبد الله بن ابي اوفى، ان النبي صلى الله عليه وسلم كان يقوم في الركعة الاولى من صلاة الظهر حتى لا يسمع وقع قدم,2,412,Daif,Daif,Daif,Daif
803,803,حدثنا حفص بن عمر، حدثنا شعبة، عن محمد بن عبيد الله ابي عون، عن جابر بن سمرة، قال قال عمر لسعد قد شكاك الناس في كل شىء حتى في الصلاة . قال اما انا فامد في الاوليين واحذف في الاخريين ولا الو ما اقتديت به من صلاة رسول الله صلى الله عليه وسلم . قال ذاك الظن بك,2,413,Sahih,Sahih,,Sahih Bukhari (770) Sahih Muslim (453)
804,804,حدثنا عبد الله بن محمد، - يعني النفيلي - حدثنا هشيم، اخبرنا منصور، عن الوليد بن مسلم الهجيمي، عن ابي الصديق الناجي، عن ابي سعيد الخدري، قال حزرنا قيام رسول الله صلى الله عليه وسلم في الظهر والعصر فحزرنا قيامه في الركعتين الاوليين من الظهر قدر ثلاثين اية قدر { الم * تنزيل } السجدة وحزرنا قيامه في الاخريين على النصف من ذلك وحزرنا قيامه في الاوليين من العصر على قدر الاخريين من الظهر وحزرنا قيامه في الاخريين من العصر على النصف من ذلك,2,414,Sahih,Sahih,,Sahih Muslim (452)
805,805,حدثنا موسى بن اسماعيل، حدثنا حماد، عن سماك بن حرب، عن جابر بن سمرة، ان رسول الله صلى الله عليه وسلم كان يقرا في الظهر والعصر بالسماء والطارق والسماء ذات البروج ونحوهما من السور,2,415,Hasan Sahih,Hasan Sahih,Sahih Lighairihi,Isnaad Hasan
806,806,حدثنا عبيد الله بن معاذ، حدثنا ابي، حدثنا شعبة، عن سماك، سمع جابر بن سمرة، قال كان رسول الله صلى الله عليه وسلم اذا دحضت الشمس صلى الظهر وقرا بنحو من { والليل اذا يغشى } والعصر كذلك والصلوات كذلك الا الصبح فانه كان يطيلها,2,416,Sahih,Sahih,Sahih Lighairihi,Sahih Muslim (459)
807,807,حدثنا محمد بن عيسى، حدثنا معتمر بن سليمان، ويزيد بن هارون، وهشيم، عن سليمان التيمي، عن امية، عن ابي مجلز، عن ابن عمر، ان النبي صلى الله عليه وسلم سجد في صلاة الظهر ثم قام فركع فراينا انه قرا تنزيل السجدة . قال ابن عيسى لم يذكر امية احد الا معتمر,2,417,Daif,Daif,Daif,Daif
808,808,حدثنا مسدد، حدثنا عبد الوارث، عن موسى بن سالم، حدثنا عبد الله بن عبيد الله، قال دخلت على ابن عباس في شباب من بني هاشم فقلنا لشاب منا سل ابن عباس اكان رسول الله صلى الله عليه وسلم يقرا في الظهر والعصر فقال لا لا . فقيل له فلعله كان يقرا في نفسه . فقال خمشا هذه شر من الاولى كان عبدا مامورا بلغ ما ارسل به وما اختصنا دون الناس بشىء الا بثلاث خصال امرنا ان نسبغ الوضوء وان لا ناكل الصدقة وان لا ننزي الحمار على الفرس,2,418,Sahih,Sahih,Sahih,Isnaad Hasan
809,809,حدثنا زياد بن ايوب، حدثنا هشيم، اخبرنا حصين، عن عكرمة، عن ابن عباس، قال لا ادري اكان رسول الله صلى الله عليه وسلم يقرا في الظهر والعصر ام لا,2,419,Sahih,Sahih,Sahih,Isnaad Sahih
810,810,حدثنا القعنبي، عن مالك، عن ابن شهاب، عن عبيد الله بن عبد الله بن عتبة، عن ابن عباس، ان ام الفضل بنت الحارث، سمعته وهو، يقرا { والمرسلات عرفا } فقالت يا بنى لقد ذكرتني بقراءتك هذه السورة انها لاخر ما سمعت رسول الله صلى الله عليه وسلم يقرا بها في المغرب,2,420,Sahih,Sahih,Sahih,Sahih Bukhari (763) Sahih Muslim (462)
811,811,حدثنا القعنبي، عن مالك، عن ابن شهاب، عن محمد بن جبير بن مطعم، عن ابيه، انه قال سمعت رسول الله صلى الله عليه وسلم يقرا بالطور في المغرب,2,421,Sahih,Sahih,Sahih,Sahih Bukhari (765) Sahih Muslim (463)
812,812,حدثنا الحسن بن علي، حدثنا عبد الرزاق، عن ابن جريج، حدثني ابن ابي مليكة، عن عروة بن الزبير، عن مروان بن الحكم، قال قال لي زيد بن ثابت ما لك تقرا في المغرب بقصار المفصل وقد رايت رسول الله صلى الله عليه وسلم يقرا في المغرب بطولى الطوليين قال قلت ما طولى الطوليين قال الاعراف والاخرى الانعام . قال وسالت انا ابن ابي مليكة فقال لي من قبل نفسه المايدة والاعراف,2,422,Sahih,Sahih,Sahih,Sahih Bukhari (764)
813,813,حدثنا موسى بن اسماعيل، حدثنا حماد، اخبرنا هشام بن عروة، ان اباه، كان يقرا في صلاة المغرب بنحو ما تقرءون { والعاديات } ونحوها من السور . قال ابو داود هذا يدل على ان ذاك منسوخ وهذا اصح,2,423,Sahih Maqtu,Sahih Maqtu,,Isnaad Sahih
814,814,حدثنا احمد بن سعيد السرخسي، حدثنا وهب بن جرير، حدثنا ابي قال، سمعت محمد بن اسحاق، يحدث عن عمرو بن شعيب، عن ابيه، عن جده، انه قال ما من المفصل سورة صغيرة ولا كبيرة الا وقد سمعت رسول الله صلى الله عليه وسلم يوم الناس بها في الصلاة المكتوبة,2,424,Daif,Daif,,Daif
815,815,حدثنا عبيد الله بن معاذ، حدثنا ابي، حدثنا قرة، عن النزال بن عمار، عن ابي عثمان النهدي، انه صلى خلف ابن مسعود المغرب فقرا ب { قل هو الله احد},2,425,Daif,Daif,,Daif
816,816,حدثنا احمد بن صالح، حدثنا ابن وهب، اخبرني عمرو، عن ابن ابي هلال، عن معاذ بن عبد الله الجهني، ان رجلا، من جهينة اخبره انه سمع النبي صلى الله عليه وسلم يقرا في الصبح { اذا زلزلت الارض } في الركعتين كلتيهما فلا ادري انسي رسول الله صلى الله عليه وسلم ام قرا ذلك عمدا,2,426,Hasan,Hasan,,Isnaad Hasan
817,817,حدثنا ابراهيم بن موسى الرازي، اخبرنا عيسى، - يعني ابن يونس - عن اسماعيل، عن اصبغ، مولى عمرو بن حريث عن عمرو بن حريث، قال كاني اسمع صوت النبي صلى الله عليه وسلم يقرا في صلاة الغداة { فلا اقسم بالخنس * الجوار الكنس},2,427,Sahih,Sahih,,Sahih
818,818,حدثنا ابو الوليد الطيالسي، حدثنا همام، عن قتادة، عن ابي نضرة، عن ابي سعيد، قال امرنا ان نقرا، بفاتحة الكتاب وما تيسر,2,428,Sahih,Sahih,Sanad Daif,Daif
819,819,"حدثنا ابراهيم بن موسى الرازي، اخبرنا عيسى، عن جعفر بن ميمون البصري، حدثنا ابو عثمان النهدي، قال حدثني ابو هريرة، قال قال لي رسول الله صلى الله عليه وسلم "" اخرج فناد في المدينة انه لا صلاة الا بقران ولو بفاتحة الكتاب فما زاد",2,429,Daif,Munkar,Daif,Daif
820,820,حدثنا ابن بشار، حدثنا يحيى، حدثنا جعفر، عن ابي عثمان، عن ابي هريرة، قال امرني رسول الله صلى الله عليه وسلم ان انادي انه لا صلاة الا بقراءة فاتحة الكتاب فما زاد,2,430,Sahih,Sahih,Sahih Lighairihi,Daif
821,821,"حدثنا القعنبي، عن مالك، عن العلاء بن عبد الرحمن، انه سمع ابا السايب، مولى هشام بن زهرة يقول سمعت ابا هريرة، يقول قال رسول الله صلى الله عليه وسلم "" من صلى صلاة لم يقرا فيها بام القران فهي خداج فهي خداج فهي خداج غير تمام "" . قال فقلت يا ابا هريرة اني اكون احيانا وراء الامام . قال فغمز ذراعي وقال اقرا بها يا فارسي في نفسك فاني سمعت رسول الله صلى الله عليه وسلم يقول "" قال الله تعالى قسمت الصلاة بيني وبين عبدي نصفين فنصفها لي ونصفها لعبدي ولعبدي ما سال "" . قال رسول الله صلى الله عليه وسلم "" اقرءوا يقول العبد { الحمد لله رب العالمين } يقول الله عز وجل حمدني عبدي يقول العبد { الرحمن الرحيم } يقول الله عز وجل اثنى على عبدي يقول العبد { مالك يوم الدين } يقول الله عز وجل مجدني عبدي يقول العبد { اياك نعبد واياك نستعين } يقول الله وهذه بيني وبين عبدي ولعبدي ما سال يقول العبد { اهدنا الصراط المستقيم * صراط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين } يقول الله فهولاء لعبدي ولعبدي ما سال",2,431,Sahih,Sahih,Sahih,Sahih Muslim (395)
822,822,"حدثنا قتيبة بن سعيد، وابن السرح، قالا حدثنا سفيان، عن الزهري، عن محمود بن الربيع، عن عبادة بن الصامت، يبلغ به النبي صلى الله عليه وسلم قال "" لا صلاة لمن لم يقرا بفاتحة الكتاب فصاعدا "" . قال سفيان لمن يصلي وحده",2,432,Sahih,Sahih,Sahih,Sahih Muslim (394)
